"","X","year","semi_final","semi_draw_position","final_draw_position","country","artist_name","song_name","language","style","gender","main_singers","final_televote_points","final_jury_points","final_televote_votes","final_jury_votes","final_place","lyrics","youtube_url"
"45",71,2022,"2","17",20,"Sweden","Cornelia Jakobs","Hold Me Closer","English","Ballad","Female",1,180,258,33,33,4,"Hold Me Closer

No need to apologize
'Cause there's nothing to regret
Well this is not what I wanted
Guess all the good things come to an end

So baby bye bye
Wish you the best
But most of all I wish that I could love you less

Well maybe you're right
I'll find someone else
You say it isn't me but when did that ever help

Hold me closer
Although you'll leave before the sunrise
Might be bleeding, but don't you mind, I'll be fine
Oh it kills me
I found the right one at the wrong time
But until the sunrise
Hold tight
Hold tight

Maybe it happened too fast
I guess that I understand
You say that you've never felt this way for anyone
And that's why it scares you to death

So baby bye bye
Know it's for the best
Still I can't see how that would ease the pain in my chest

Hold me closer
Although you'll leave before the sunrise
I'll be bleeding but don't you mind I'll be fine
Oh it kills me
I found the right one at the wrong time
But until the sunrise

Could you just hold me tight
I know I have to let go but just give me the night

'Cause tomorrow will hurt
Hurt really bad
'Cause I'm about to lose the best I ever had

Hold me closer
Although you'll leave before the sunrise
I'll be bleeding but don't you mind I'll be fine
Oh it kills me
I found the right one at the wrong time
But until the sunrise

Could you just hold me tight
I know I have to let go but just give me the night

Can't you see that you found the right one at the wrong time
It wаs juѕt the wrong time
Hold tight
Hold tight","https://youtu.be/i777psA2gP4"
"46",72,2022,"2","18",1,"Czech Republic","We Are Domi","Lights Off","English","Dance","Female",1,5,33,1,11,22,"Lights Off\n\nI lost my soul, forgot my way\nThere's no mistakes that I've not made\nChanges hurt and I'm alone\nBut people say, ""My, how you've grown""\n\nTry changing jobs, try changing lovers\nChanging my furniture, change my bed covers\nI've changed my heart, but there's not a chance\nSo turn the lights off\n\nWhere are you now when I miss you?\nYou're sailin' around in my peripheral\nWhere are you now?\nWhere are you now?\nWhere are you now?\nWhere are you now?\n\nI'll ring the changes, make a plan\nI'm small but mighty yes I can\nI'll build a fortress, I'll be the wall\nI'll be a queen, invincible\n\nTry changing jobs, try changing lovers\nChanging my furniture, change my bed covers\nI've changed my heart, but there's not a chance\nSo turn the lights off\n\nWhere are you now when I miss you?\nYou're sailin' around in my peripheral\nWhere are you now?\nWhere are you now?\nWhere are you now?\nWhere are you now?\n\nOnce again I'm left without control\nI'm far away, but can you hear me call?\nWhere are you now?\n\nWhere are you now when I miss you?\nYou're ѕailin' around in my peripheral\nWhere are you now?\nWhere are you now?\nWhere are you now?\nWhere аre you now?","https://youtube.com/watch?v=EGRzSefqOm0"
"47",73,2022,"-","-",9,"Italy","Mahmood and Blanco","Brividi","Italian","Ballad","Male",2,110,158,23,26,6,"Brividi\n\nHo sognato di volare con te\nSu una bici di diamanti\nMi hai detto sei cambiato\nNon vedo più la luce nei tuoi occhi\nLa tua paura cos'è?\nUn mare dove non tocchi mai\nAnche se il sesso non è\nLa via di fuga dal fondo\nDai, non scappare da qui\nNon lasciarmi così\n\nNudo con i brividi\nA volte non so esprimermi\nE ti vorrei amare, ma sbaglio sempre\nE ti vorrei rubare un cielo di perle\nE pagherei per andar via\nAccetterei anche una bugia\nE ti vorrei amare ma sbaglio sempre\nE mi vengono i brividi, brividi, brividi\n\nTu, che mi svegli il mattino\nTu, che sporchi il letto di vino\nTu, che mi mordi la pelle\nCon i tuoi occhi da vipera\nE tu, sei il contrario di un angelo\nE tu, sei come un pugile all'angolo\nE tu scappi da qui, mi lasci così\n\nNudo con i brividi\nA volte non so esprimermi\nE ti vorrei amare, ma sbaglio sempre\nE ti vorrei rubare un cielo di perle\nE pagherei per andar via\nAccetterei anche una bugia\nE ti vorrei amare ma sbaglio sempre\nE mi vengono i brividi, brividi, brividi\n\nDimmi che non ho ragione\nVivo dentro una prigione\nProvo a restarti vicino\nMa scusa se poi mando tutto a puttane\nNon so dirti ciò che provo, è un mio limite\nPer un ti amo ho mischiato droghe e lacrime\n\nQuesto veleno che ci sputiamo ogni giorno\nIo non lo voglio più addosso\nLo vedi, sono qui\nSu una bici di diamanti, uno fra tanti\n\nNudo con i brividi\nA volte non so esprimermi\nE ti vorrei amare, ma sbaglio sempre\nE ti vorrei rubare un cielo di perle\nE pagherei per andar via\nAccetterei anche una bugia\nE ti vorrei amare, ma sbаglio ѕempre\nE mi vengono i brividi, brividi, brividi","https://youtube.com/watch?v=blEy4xHuMbY"
"48",74,2022,"-","-",10,"Spain","Chanel","SloMo","Spanish, English","Pop","Female",1,228,231,38,34,3,"SloMo

Let's go

Llegó la mami
La reina, la dura, una Bugatti
El mundo está loco con este party
Si tengo un problema, no es monetary
Yo vuelvo loquito' a todos los daddies
Yo siempre primera, nunca secondary
Apenas hago doom, doom
Con mi boom, boom
Y le tengo dando zoom, zoom
For my yummy

Y no se confundan
Señora' y señore'
Yo siempre 'toy ready
Pa' romper cadera', romper corazones
Solo existe una
No hay imitaciones
Y si aún no me creen, pues me toca mostrárselo

Take a video
Watch it slo mo, mo, mo, mo, mo
Booty hypnotic
Make you want more, more, more, more, more
Voy a bajarlo hasta el suelo, lo, lo, lo, lo
If you wish, you could do this dembow
Drives you loco
Take a video, watch it slo mo

Te gusta todo lo que tengo
Te endulzo la cara en jugo de mango
Se te dispara cuando la prendo
Hasta el final, yo no me detengo
Take a sip of my cola-la
Un poco salvaje na-na-na
Make it go like pa-pa-pa-pa
Like pa-pa-pa-pa-pa

Y no se confundan
Señora' y señore'
Yo siempre 'toy ready
Pa' romper cadera', romper corazone'
Solo existe una
No hay imitaciones
Y si aún no me creen, pues me toca mostrárselo

Take a video
Watch it slo mo, mo, mo, mo, mo
Booty hypnotic
Make you want more, more, more, more, more
Voy a bajarlo hasta el suelo, lo, lo, lo, lo
If you wish, you could do this dembow
Drives you loco

Y no se confundan
Señora' y señore'
Yo siempre 'toy ready
Pa' romper cadera', romper corazones
Solo existe una
No hay imitaciones

Watch it slo mo, mo, mo, mo, mo
Booty hypnotic
Make you want more, more, more, more, more
Voy a bajarlo hasta el suelo, lo, lo, lo, lo
If you wish, you could do this dembow
Drives you loco
Take a video
Wаtch it ѕlo mo","https://youtu.be/jSQYTt4xg3I"
"49",75,2022,"-","-",13,"Germany","Malik Harris","Rockstars","English","Ballad","Male",1,6,0,3,0,25,"Rockstars\n\nLook where we are\nWe used to be the rockstars\nWho never thought of no harm\n'Til this thing we call life stopped gleaming\nI wish there was a way to go back dreaming\nRemembering gets so hard\nWhen time is moving so fast\nWish there was a way to know that we're in\nThe good old days before we all just leave 'em\n\nI tried getting rid of the pain\nI tried to make it go away but it probably won't change\nAlways thinking 'bout my own worries\nRemember back when we had no worries?\nNow life just ain't hitting the same\nI sit and miss and reminisce about innocent old days\nWhen I was afraid of nobody\nNow I'm afraid of being a nobody\n\nDon't wanna leave my bed\nI'll just stay and never get it together\n'Cause the voices in my head \nThey keep saying it'll never get better\n\nLook where we are\nWe used to be the rockstars\nWho never thought of no harm\n'Til this thing we call life stopped gleaming\nI wish there was a way to go back dreaming\nRemembering gets so hard\nWhen time is moving so fast\nWish there was a way to know that we're in\nThe good old days before we all just leave 'em\n\nSometimes I got this kinda sting that's right inside my chest\nIt's only purpose is convincing me that I'm a mess\nAnd even though it's always been an uninvited guest\nIt finds a way in nonetheless\nWish I could change my address\nAnd you know \nJust be somebody else for a couple of days\nAlthough I'm pretty sure we all feel the same kinda way\n'Cause if you think about it \nAren't we all set in a place\nWhere we look back at better days\nAnd wish they weren't so far away?\n\nI wish that I could just go back and be the way I was\nI wish I'd still not give a damn 'bout how I come across\nI wish the way I saw myself had never gotten lost\nIn all the worries \nAll the thoughts\nOverthinking \nAll the parts\nSo exhausted \nAlways caught\nUp inside my doubts and flaws\nAnd Imma count them all\nSomebody catch me, I'm 'bout to fall\nYeah I'm 'bout to fall\nCan we press pause?\nOr do a restart\nAnd be who we are?\n\nWe used to be the rockstars\nWho never thought of no harm\n'Til this thing we call life stopped gleaming\nI wish there was a way to go back dreaming\nRemembering gets so hard \nWhen time is moving so fast\nWish there was a way to know that we're in\nThe good old days before we all just leave 'em\n\n(We used to be the rockstars)\nDidn't we?\n(We used to be the rockstars)\nDidn't we\nUse to be the rockstars? (We used to be the rockstars)\nYeah we used to be the rockstars (We used to be the rockstars)\n\nRemembering gets so hard\nWhen time is moving so fast\nWish there was a way to know that we're in\nThe good old days before we all juѕt leаve 'em","https://youtube.com/watch?v=2BYIou-oWXA"
"50",76,2022,"-","-",22,"United Kingdom","Sam Ryder","Space Man","English","Pop","Male",1,183,283,34,35,2,"Space Man\n\nIf I was an astronaut, I'd be floating in mid-air\nAnd a broken heart would just belong to someone else down there\nI would be the centre of my lonely universe\nBut I'm only human, and I'm crashing down to earth\n\nIf I was an astronaut, I'd have a bird's eye view\nI'd circle 'round the world and keep on coming back to you\nIn my floating castle, I'd rub shoulders with the stars\nBut I'm only human, and I'm drifting in the dark\n\nI'm up in space, man\nUp in space, man\nI've searched around the universe\nBeen down some black holes\nThere's nothing but space, man\nAnd I want to go home\n\nIf I was an astronaut, I'd speak to satellites\nMy navigation systems would search for other life\nBut I'd be up here thinking 'bout what I'd left behind\n'Cause I'm only human with the real world on my mind\n\nI'm up in space, man\nUp in space, man\nI've searched around the universe\nBeen down some black holes\nThere's nothing but space, man\nAnd I want to go home\n\nGravity keeps pulling me down\nAs long as you're on the ground, I'll stick around\nStick around\nI'll stick around\n\nI'm up in space, man\nUp in space, man\nI've searched around the universe\nBeen down some black holes\nThere's nothing but space, man, no\nOh, I'm in the wrong place, man\nNothing but, nothing but, nothing but space, man\nNothing but, nothing but, nothing but space, man\n\nI've searched around the universe\nBeen down some black holes\nNothing but ѕpace, man\nAnd I wаnt to go home","https://youtube.com/watch?v=RZ0hqX_92zI"
"51",77,2022,"-","-",6,"France","Alvan and Ahez","Fulenn","Breton","Traditional","Mix",4,8,9,6,3,24,"Fulenn\n\nTan de'i \n\nE teñvalijenn ar c'hoadeier e tiwan an noz\nAr stered a deu war-wel en hiboud direpoz\nUr skeud benel a droidell ouzh skleurenn ur flamboz\n\nOc'h ober fae deus ar fall loened e tansan\nMe bak an tan en o lagad leun a droukc'hoant\nHa dreiñ 'n'añ en ur c'han da gan' a-unvan\nDañsal a ra gant an diaoul ha para?\nDañsal a ran gant an diaoul ha para?\n\nEntan ha taras, entan jabadao ha taras\nTrid' a ra ar c'hoad ouzh stok' ar fulenn a-bilpaz\nHe hud dudius a bign betek penn ar gwez bras\n\nOc'h ober fae deus ar fall loened e tañsan\nMe bak an tan en o lagad leun a droukc'hoant\nHa dreiñ 'n'añ en ur c'han da gan' a-unvan\n\nDispont 'kreiz an digoadenn e tans ar fulenn\nTreiñ ha distreiñ en-dro de'i eneoù dichadenn\nTreiñ ha distreiñ en-dro de'i eneoù dichadenn\nLalalalalalaleno lalelalalo\nLalalalalalaleno lalelalalo\nLalalalalalaleno lalelalalo\nLalalalalalaleno lalelalalo\n\nDañsal a ran gant an diaoul ha para?\nGa''n diaoul e tansan\nDañsal a ra gant an diaoul ha para?\nLalalalalalaleno lalelalalo\nLalalalalalaleno lalelalalo\nLalalalalalaleno lalelalalo\nLalalalalalaleno lalelalalo\n\nDispont 'kreiz an digoadenn e tañѕ аr fulenn","https://youtube.com/watch?v=H1lcGXwOqJI"
"52",78,2021,"1","1",18,"Lithuania","The Roop","Discoteque","English","Dance","Male",1,165,55,27,12,8,"Discoteque

Okay, I feel the rhythm
Something's going on here
The music flows through my veins

It's taking over me, it's slowly kicking in
My eyes are blinking and I don't know what is happening
I can't control it, don't wanna end it
There's no one here and I don't care
I feel it's safe to dance alone (dance alone)
Dance alone (dance alone), dance alone (dance alone)
Dance alone (dance alone), dance alone (dance alone)
Dance alone (dance alone), dance alone, dance alone

Let's discoteque right at my home
It is okay to dance alone
Dance alone, dance alone (alone)
Dance alone (alone), dance alone (alone)
I got the moves, it's gonna blow

Dance alone, dance alone
Dance alone, dance alone

By dancing on my own
I'm healing wounded soul
My body shaking hard
It's breaking, have to let it go
I need to get up and put my hands up
There's no one here and I don't care
I feel it's safe to dance alone

Let's discoteque right at my home
It is okay to dance alone
Dance alone, dance alone (alone)
Dance alone (alone), dance alone (alone)
I got the moves, it's gonna blow

Dance alone, dance alone
Dance alone, dance alone

Let's discoteque right at my home
It is okay to dance alone
I got the moves, it's gonna blow
It is okay to dance alone

Let's discoteque right at my home
It is okay to dance alone
I got the moves, it's gonna blow
It iѕ okay to dance аlone","https://youtu.be/JNweec5olYw"
"53",80,2021,"1","3",5,"Russia","Manizha","Russian Woman","Russian, English","Traditional","Female",1,100,104,22,21,9,"Russian woman\n\nPole, pole, pole, ya zh mala\nPole, pole, pole, tak mala\nKak proyti po polyu iz ognya\nKak proyti po polyu, yesli ty odna?\n\nZhdatʹ mne chʹyey-to ruchechki, ruchki?\nA kto podast mne ruchku, devochki?\n\nIspokon vekov s nochi do utra\nS nochi-nochi zhdyom my korablya\nZhdyom my korablya\nOchenʹ-ochenʹ zhdyom my korablya\nZhdyom my korablya\nA chyo zhdatʹ?\nVstala i poshla\n\nEvery Russian woman needs to know\nYou're strong enough, you're gonna break the wall\nEvery Russian woman needs to know\nYou're strong enough, you're gonna break the wall\n\nSho tam khorokhorit·sya?\nOy, krasavitsa\nZhdeshʹ svoyego yuntsa?\nOy, krasavitsa\nTebe uzh za tridtsat, allo, gde zhe deti?\nTy v tselom krasiva, no vot pokhudetʹ by\nNadenʹ podlinneye, nadenʹ pokoroche\nRosla bez ottsa?\nDelay to, chto ne khochet\nTy tochno ne khocheshʹ?\nNe khocheshʹ, a nado\nPoslushayte, pravda, my s vami ne stado\nVorony, proshu otvalite\n\nTeperʹ zarubite sebe na nosu\nYa vas ne vinyu\nA sebya ya chertovski lyublyu\n\nBoryut·sya, boryut·sya\nVse po krugu boryut·sya\nda ne molyat·sya\nSyn bez ottsa, doch bez ottsa\nNo slomannoy family ne slomatʹ menya\n\nEvery Russian woman needs to know\nYou're strong enough, you're gonna break the wall\nEvery Russian woman needs to know\nYou're strong enough, you're gonna break the wall\n\nHey, Russian woman\nDon't be afraid, girl\nYou're strong enough, you're strong enough\nDon't be afraid \nDon't be afraid\nDon't be afraid \nDon't be afraid\nDon't be afraid \nDon't be afraid\nDon't be afraid, don't be afraid\n\nBoryut·sya, boryut·sya\nVse po krugu boryut·sya\nda ne molyat·sya\nSyn bez ottsa, doch bez ottsa\nNo slomannoy family ne ѕlomatʹ menyа","https://youtube.com/watch?v=V-Di9A28e5E"
"54",81,2021,"1","4",25,"Sweden","Tusse","Voices","English","Pop","Male",1,63,46,18,10,14,"Voices\n\nThere's fire in the rain\nBut we'll get up again\nWe're thousand miles apart\nBut we'll overcome\n\nI'll never let you down\nWorld is turning us around\nBut I feel it in my heart\nLet's make a brand new start\n\nCan't stop us now forget the haters\nGet up and live and make it matter\nThere's more to life so go ahead and\nsing it out\n\nCan you hear a million voices\nCalling out in the rain\nYou know we got a million choices\nSo go get out and let it rain\n\nA million voices voices\nA million voices voices\nA million voices voices\nA million voices\n\nThere's fire in the rain\nAnd I can feel your pain\nPainting all the scars in\nThe colors of change\n\nDon't let them hold you down\nDon't let them hold you down\nGo shooting like a star\nThe star you are\n\nCan't stop us now forget the haters\nGet up and live and make it matter\nThere's more to life so go ahead and\nsing it out\n\nCan you hear a million voices\nCalling out in the rain\nYou know we got a million choices\nSo go get out and let it rain\n\nCan you hear them\nA million voices voices\nCan you hear them\nA million voices voices\nCan you hear them\nA million voices voices\nCan you hear them\nA million voices\n\nCan you hear them?\nCan you hear them?\n\nCan you hear a million voices\nCalling out in the rain\nYou know we got a million choices\nSo go get out and let it rain\n\nCan you hear them\nA million voices voices\nCan you hear them\nA million voices voices\nCan you hear them\nA million voices voices\nCan you heаr them\nA million voiceѕ","https://youtube.com/watch?v=NyJRyif6_kk"
"55",85,2021,"1","8",1,"Cyprus","Elena Tsagrinou","El Diablo","English","Pop","Female",1,44,50,7,11,16,"El Diablo\n\nI fell in love, I fell in love\nI gave my heart to el diablo, el diablo\nI gave it up, I gave it up\nBecause he tells me I'm his angel, I'm his angel\n\nTonight we're gonna burn in the party\nWe wild as fire, were on the loseh\nHotter than siracha on our bodies\nT-taco, temale, yeah, that's my mood\nAll this spice, it melts my icy edges\nBaby, it's true\nTonight we're gonna burn in the party\nIt's Heaven and hell with you\n\nMama-mamacita, tell me what to do\nLo-la-lo-la-loca, I'm breaking the rules\n\nI fell in love, I fell in love\nI gave my heart to el diablo, el diablo\nI gave it up, I gave it up\nBecause he tells me I'm his angel, I'm his angel\nOh-oh-oh, el diablo, el diablo\nI fell in love, I fell in love\nI gave my heart to el diablo, el diablo\n\nTonight we're gonna dance in the moonlight\nDripping my lashes on the floor\nHair flip-flip, made you look twice\nTouch me, touch me, mi amor\nAll this spice, it melts my icy air\nBaby, for sure\nTonight we're gonna dance in the moonlight\nAnd then we're gonna do it some more\n\nMama-mamacita, tell me what to do\nLo-la-lo-la-loca, I'm breaking the rules\n\nI fell in love, I fell in love\nI gave my heart to el diablo, el diablo\nI gave it up, I gave it up\nBecause he tells me I'm his angel, I'm his angel\nOh-oh-oh, el diablo, el diablo\nI fell in love, I fell in love\nI gave my heart to el diablo, el diablo\n\nI love el diablo\nI love el diablo\nI love el diablo\n\nI fell in love, I fell in love\nI gave my heart to el diablo, el diablo\nI gave it up, I gave it up\nBecause he tells me I'm his angel, I'm hiѕ angel\nOh-oh-oh, el diablo, el diablo, oh-oh\nI fell in love, I fell in love\nI gave my heart to el diablo, el diablo\n\nI love el diablo\nEl diаblo","https://youtube.com/watch?v=MgGc1F_cOE8"
"56",86,2021,"1","9",22,"Norway","Tix","Fallen Angel","English","Pop","Male",1,60,15,16,5,18,"Fallen Angel\n\nWhat can I say?\nI can't make her stay\nWhen I know that she's so far above\nHow could she ever love someone like me?\nShe's out of reach\n\nHere in the dark\nInside a hole in my heart\nI'm fighting all of my demons tryna tear me apart\nAnd I'm still not sure what you ever saw in me\n\nNo, I'm a, I'm a fallen angel\nAnd no matter where my heart is\nThere's no way I'll ever reach up to heaven to you\n\nShe's so far out of this world\nNo way I could ever be with her\n'Cause I know heaven's your home\nThat's where angels belong\nAnd it wouldn't be fair\nIf I keep you down here\n\nHere in the dark\nInside a hole in my heart\nI'm fighting all of my demons tryna tear me apart\nAnd I'm still not sure what you ever saw in me\n\nNo, I'm a, I'm a fallen angel\nTryna fly but I'm not able, oh-oh-oh-oh\nAnd I need you to know\nThat it's okay to let me go\n'Cause no matter where my heart is\nThere's no way I'll ever reach up to heaven to you\n\nI'm a, I'm a fallen angel\nYeah, I'm a, I'm a fallen angel\nAnd I'm still not sure what you ever saw in me\n\nNo, I'm a, I'm a fallen angel\nTryna fly but I'm not able\nSo, just let me go\n'Cause no matter where my heart is\nThere'ѕ no way I'll ever reach up to heаven to you","https://youtube.com/watch?v=F0r3vmGLzZU"
"57",88,2021,"1","11",4,"Belgium","Hooverphonic","The Wrong Place","English","Ballad","Female",1,3,71,2,17,19,"The Wrong Place

I wake up and I think I could use another drink
I'm reaching for a smoke to forget about last night, last night
I get up 'cause I need a shot of instant remedy
I put a record on, it makes me think about last night, last night

It all ended in the weirdest chip
He started actin' way too hip
That's why I ignored you for a long, long time
But then you had the best opening line
You're in the wrong place

You're lying next to me, I don't know where to hide
I see his smiley face that makes me wanna cry
What was I thinking? 'Cause all we did was fight
Don't you ever dare to wear my Johnny Cash t-shirt

You're in the wrong place, you're in the wrong place

You wake up and you think you won't need another drink
You don't want me to smoke, though I didn't stop last night, last night
You get up 'cause you need an organic cup of tea
You put a record on, it makes you think about last night, last night

You confuse me with your blurry eyes
Thought you were a different kind of guy
That's why I took you to my messy place
But it felt as if we were in a different space
You're in the wrong place

You're lying next to me, I don't know where to hide
I see his smiley face that makes me wanna cry
What was I thinking? 'Cause all we did was fight
Don't you ever dare to wear my Johnny Cash t-shirt

You're in the wrong place, you're in the wrong place
You're in the wrong place, you're in the wrong place
You're in the wrong place, you're in the wrong place
Don't you ever dare to wear my Johnny Cаsh t-ѕhirt","https://youtu.be/HbpxcUMtjwY"
"58",89,2021,"1","12",3,"Israel","Eden Alene","Set Me Free","English","Pop","Female",1,20,73,4,17,17,"Set Me Free\n\nTake a look what we've become\nIt's been so long\nGetting you out of my life\nI feel so strong\n\nSet me free\nFeel my beating heart in perfect harmony\nDon't let me down\nI'ma I'ma Ah\nI'ma I'ma Ah\n\nFeeling like in prison\nLooking for the reason\nI don't wanna say goodbye\nFeels like no tomorrow\nEverywhere that I go\nBabe I'm gonna lose my mind\nJust another story\nTell me not to worry\nAnd everything will be just fine\nUsed to be your treasure\nNow I'm gone forever\nThink I'm going back in time\n\nSet me free\nFeel my beating heart in perfect harmony\nDon't let me down\nI'ma I'ma Ah\nI'ma make it on my own\nI'ma I'ma Ah\nChalas im hashiga'on\nI'ma I'ma Ah\nI'ma make it on my own\nI'ma I'ma Ah\n\nLife has been so easy\nUsed to call us cheesy\nIt was paradise\nIn my bed so lonely\nYou're the one and only\nHell I know I paid my price\nClock is ticking tik tak\nEverything is chik chak\nAnd I don't know what to do\nPeople tell me honey\nYalla balaganim\nOne day dreams will become true\n\nSet me free\nFeel my beating heart in perfect harmony\nDon't let me down\nSet me free\nFeel my beating heart in perfect harmony\nDon't let me down\nI'ma I'ma Ah\nI'ma make it on my own\nI'ma I'ma Ah\nChalas im hashiga'on\nI'ma I'ma Ah\nI'ma make it on my own\nI'ma I'ma Ah\n\nI'm so awesome\nCome and get some\nWhat are we living for?\nI'm your reason, spicy season\nLike we did before\nLet me take you higher\nSet the place on fire\nTwenty twenty-one degrees\nFeel my beating heart and set me free\n\nSet me Free\nSet me free\nSet me free\nSet me free hаrmony\nDon't let me down\nJust ѕet me free","https://youtube.com/watch?v=5Y-blG5ptwo"
"59",91,2021,"1","14",21,"Azerbaijan","Efendi","Mata Hari","English","Pop","Female",1,33,32,12,9,20,"Mata Hari

I'm a godless spy
I'm a spy, I uncover
All of your secrets, I want them
There's no stopping me now
I'm a liar
Playing the game of desire
Ain't gonna leave no survivors
Would you fall for me now?

Just like Cleopatra
The army of lovers
I start a fire
Yalan da mən, yanan da mən, yaman da mən

Ma-Ma-Ma-Mata Hari
Mata Hari
Ma-Ma-Ma-Mata Hari
Mata Hari
Mata Hari

Undercover
I am a dangerous lover
Drinking my poisonous water
And you're under my spell
Mesmerizing
Moving my hips, you are trying
You can't resist, try to fight it
Got a story to tell

Just like Cleopatra
The army of lovers
I start a fire
Yalan da mən, yanan da mən, yaman da mən

Ma-Ma-Ma-Mata Hari
Mata Hari
Ma-Ma-Ma-Mata Hari
Mata Hari
Mata Hari

Ma-ma-ma-ma, ma-ma-ma-ma
Ma-ma-ma-ma, ma-ma-ma-ma

Just like Cleopatra
Let's start a fire
Let's go

Ma-ma-ma-ma, Mata Hari
Ma-ma-ma-ma, ma-ma-ma-ma, Mata Hari
Mata Hari","https://youtu.be/FTQ22S5YC7Q"
"60",92,2021,"1","15",19,"Ukraine","Go_A","Shum","Ukrainian","Traditional","Female",1,267,97,38,19,5,"Shum\n\nVesnyanochko, vesnyanochko\nDe ty zymuvala?\nU sadochku na klenochku\nSorochechku pryala\nTam u lisi, na uzlissi\nSova v vodu duye\nZaspivayu spivanochku\nNekhay vona chuye\n\nZapletysya, shume, barvinochkom\nYa tobi spivayu vesnyanochku\nSiyu, siyu, siyu, siyu konopelechky\nSiyu, siyu, siyu, siyu zelenesenʹki\n\nPryydy, pryydy, vesnyanochko\nTa y ne zabarysya\nA my vyydem na yulytsyu\nBudem lyubytysya\nVesnyanochko, panyanochko\nZahlyanʹ u vikontse\nZaspivaly spivanochku\nZasvitylo sontse\n\nNumo, numo, zapletemo shuma\nZapletemo, hulyaty pidemo\nSiyu, siyu, siyu, siyu konopelechky\nSiyu, siyu, siyu, siyu zelenesenʹki\nZapletysya, shume, zapletysya\nBarvinochkom, shume, zastelysya\nSiyu, siyu, siyu, siyu konopelechky\nSiyu, siyu, siyu, siyu zelenesenʹki\n\nVesnyanochko, vesnyanochko\nDe ty zymuvala?\nU sadochku na klenochku\nSorochechku pryala\nOy u lisi, na uzlissi\nSova v vodu duye\nZaspivayu spivanochku\nNekhay vona chuye\n\nZapletysya, shume, barvinochkom\nYa tobi spivayu vesnyanochku\nSiyu, siyu, siyu, siyu konopelechky\nSiyu, siyu, siyu, siyu zelenesenʹki\nNumo, numo, narobyly shumu\nNаrobyly, vesnu rozbudyly\nSiyu, siyu, siyu, siyu konopelechky\nSiyu, siyu, siyu, siyu zeleneѕenʹki","https://youtube.com/watch?v=lqvzDkgok_g"
"61",93,2021,"1","16",6,"Malta","Destiny","Je me casse","English","Pop","Female",1,47,208,15,35,7,"Je me casse

Babe, are you hurtin'?
Are you alright?
You look like an angel that fell from the sky
And boy, you keep talkin', massagin' my ego
With your unoriginal pick-up lines
(Hell no, what you gonna do?)

Hell no, I am not your honey
Hell no, I don't want your money
Got it wrong, I ain't into dummies
Nuh-uh-uh-uh

So baby, it's not a maybe
Yeah, I'm too good to be true
But there's nothing in it for you
So, if I show some skin
Doesn't mean I'm giving in
Not your baby
(Je me casse)

Je me casse
If you don't get it
(Je me casse)
Je me casse
Je me casse
I'm not your baby

Boy, why you puttin' that drink in my hand?
Think if I'm drunk then I'll give you a chance?
Boy, you keep buying and complyin', so stop tryin'
Not gonna give it up and changin' my plans
(Hell no, what you gonna do?)

Hell no, I am not your honey
Hell no, I don't want your money
Got it wrong, I ain't into dummies
Nuh-uh-uh-uh

So baby, it's not a maybe
Yeah, I'm too good to be true
But there's nothing in it for you
So, if I show some skin
Doesn't mean I'm giving in
Not your baby
(Je me casse)

Je me casse
If you don't get it
(Je me casse)
Je me casse
Je, je me casse
I'm not your baby

Ladies, if you feel like flauntin' tonight
It's alright, it's alright
(Ladies) Ladies
(Listen to me)
Listen and go right ahead
Show you're shinin' bright
If you don't get it
If you, if you don't get it
(Je me casse)
If you don't get it
If you, if you
Excuse my French

Baby, it's not a maybe
Yeah, I'm too good to be true
But there's nothing in it for you
So, if I show some skin
Doesn't mean I'm giving in
Not your baby
(Je me casse)

Je, je, je me casse
I'm not your baby","https://youtu.be/jbbc2yKnv0M"
"62",97,2021,"2","4",10,"Greece","Stefania","Last Dance","English","Pop","Female",1,79,91,11,15,10,"Last Dance\n\nMy heart was born a radical\nElectric and dynamical\nI never listened to the remedies\nWith no forevers, no eternities\nHolding on beyond the night\nFor a shadow that feels right\nHolding on beyond the night to you\n\nIf the dreams we made are made of fire\nI would give a life just to live the dream again\nIf our hearts are hanging on a wire\nLet's forget the world below and dance until the end\n\nLet's dance\nOur last dance\nA rockin' romance\nThis ain't our last dance\nLet's dance\nOh oh ohh…\n\nMy heart was born in neon lights\nFloating in space like satellites\nLooking for signs of life tonight\nAs we collide in black and white\nHoldin' on beyond the night\nFor a shadow that feels right\nHoldin' on beyond the night to you\n\nIf the dreams we made are made of fire\nI would give a life just to live the dream again\n\nLet's dance\nOh, last dance\nA rockin' romance\nThis ain't our last dance\nLet's dance\nOh oh ohh…\nThis ain't our last dance\n\nTake a deeper breath before we touch\nRunning out of time, let's use it up\nAnd hold me before the morning comes\n\nLet's dance\nOh oh ohh…\nA rockin' romance\nThis ain't our last dance\nLet'ѕ dаnce","https://youtube.com/watch?v=QhZhJFp0vVw"
