X,year,semi_final,semi_draw_position,final_draw_position,country,artist_name,song_name,language,style,gender,main_singers,final_televote_points,final_jury_points,final_televote_votes,final_jury_votes,final_place
132,2019,1,16,13,Greece,Katerine Duska,Better Love,English,Pop,Female,1,24,50,3,8,21
133,2019,1,17,7,San Marino,Serhat,Say Na Na Na,English,Dance,Male,1,65,12,11,3,19
137,2019,2,4,24,Switzerland,Luca Hanni,She Got Me,English,Dance,Male,1,212,152,38,28,4
140,2019,2,7,6,Denmark,Leonora,Love Is Forever,"English, French",Pop,Female,1,51,69,13,16,12
141,2019,2,8,9,Sweden,John Lundvik,Too Late for Love,English,Ballad,Male,1,93,241,17,32,5
144,2019,2,11,1,Malta,Michela,Chameleon,English,Pop,Female,1,20,87,4,19,14
146,2019,2,13,5,Russia,Sergey Lazarev,Scream,English,Ballad,Male,1,244,126,30,24,3
147,2019,2,14,2,Albania,Jonida Maliqi,Ktheju tokes,Albanian,Traditional,Female,1,47,43,6,10,17
148,2019,2,15,15,Norway,KEiiNO,Spirit in the Sky,English,Dance,Mix,3,291,40,37,9,6
149,2019,2,16,12,Netherlands,Duncan Laurence,Arcade,English,Ballad,Male,1,261,237,40,32,1
150,2019,2,17,8,North Macedonia,Tamara Todevska,Proud,English,Ballad,Female,1,58,247,11,32,7
151,2019,2,18,20,Azerbaijan,Chingiz,Truth,English,Pop,Male,1,100,202,26,33,8
152,2019,-,-,4,Germany,S!sters,Sister,English,Ballad,Female,2,0,24,0,5,25
153,2019,-,-,14,Israel,Kobi Marimi,Home,English,Ballad,Male,1,35,0,7,0,23
154,2019,-,-,16,United Kingdom,Michael Rice,Bigger than Us,English,Ballad,Male,1,3,8,1,5,26
155,2019,-,-,21,France,Bilal Hassani,Roi,"French, English",Pop,Female,1,38,67,12,18,16
156,2019,-,-,22,Italy,Mahmood,Soldi,Italian,Pop,Male,1,253,219,38,32,2
157,2019,-,-,26,Spain,Miki,La Venda,Spanish,Pop,Male,1,53,1,12,1,22
160,2018,1,3,12,Albania,Eugent Bushpepa,Mall,Albanian,Rock,Male,4,58,126,8,20,11
162,2018,1,5,14,Czech Republic,Mikolas Josef,Lie to Me,English,Pop,Male,1,215,66,35,16,6
163,2018,1,6,4,Lithuania,Ieva Zasimauskaite,When We're Old,English,Ballad,Female,1,91,90,11,17,12
164,2018,1,7,22,Israel,Netta,Toy,English,Pop,Female,1,317,212,39,34,1
166,2018,1,9,6,Estonia,Elina Nechayeva,La forza,Italian,Opera,Female,1,102,143,19,26,8
167,2018,1,10,18,Bulgaria,Equinox,Bones,English,Pop,Mix,5,66,100,15,18,14
170,2018,1,13,5,Austria,Cesar Sampson,Nobody but You,English,Pop,Male,1,71,271,18,34,3
172,2018,1,15,17,Finland,Saara Aalto,Monsters,English,Pop,Female,1,23,23,4,6,25
175,2018,1,18,24,Ireland,Ryan O'Shaughnessy,Together,English,Traditional,Male,1,62,74,14,19,16
176,2018,1,19,25,Cyprus,Eleni Foureira,Fuego,English,Pop,Female,1,253,183,42,27,2
177,2018,2,1,7,Norway,Alexander Rybak,That's How You Write a Song,English,Pop,Male,1,84,60,18,12,15
179,2018,2,3,10,Serbia,Sanja Ilic & Balkanika,Nova deca,Serbian,Traditional,Mix,2,75,38,9,6,19
181,2018,2,5,15,Denmark,Rasmussen,Higher Ground,English,Traditional,Male,1,188,38,32,8,9
183,2018,2,7,19,Moldova,DoReDoS,My Lucky Day,English,Pop,Mix,3,115,94,23,13,10
184,2018,2,8,23,Netherlands,Waylon,Outlaw in 'Em,English,Rock,Male,1,32,89,7,18,18
185,2018,2,9,16,Australia,Jessica Mauboy,We Got Love,English,Pop,Female,1,9,90,3,17,20
189,2018,2,13,21,Hungary,AWS,Viszlat nyar,Hungarian,Rock,Male,1,65,28,15,7,21
191,2018,2,15,20,Sweden,Benjamin Ingrosso,Dance You Off,English,Pop,Male,1,21,253,7,35,7
193,2018,2,17,3,Slovenia,Lea Sirk,"Hvala, ne!",Slovene,Pop,Female,1,23,41,4,12,22
194,2018,2,18,1,Ukraine,Melovin,Under the Ladder,English,Dance,Male,1,119,11,18,2,17
195,2018,-,-,8,Portugal,Claudia Pascoal,O jardim,Portuguese,Pop,Female,1,18,21,2,5,26
196,2018,-,-,9,United Kingdom,SuRie,Storm,English,Pop,Female,1,25,23,7,6,24
197,2018,-,-,11,Germany,Michael Schulte,You Let Me Walk Alone,English,Pop,Male,1,136,204,29,30,4
198,2018,-,-,13,France,Madame Monsieur,Mercy,French,Pop,Female,1,59,114,13,21,13
199,2018,-,-,26,Italy,Ermal Meta & Fabrizio Moro,Non mi avete fatto niente,Italian,Pop,Male,2,249,59,35,11,5
200,2018,-,-,2,Spain,Amaia & Alfred,Tu canciOn,Spanish,Pop,Mix,2,18,43,3,10,23
201,2017,1,1,24,Sweden,Robin Bengtsson,I Can't Go On,English,Pop,Male,1,126,218,35,33,5
203,2017,1,3,14,Australia,Isaiah,Don't Come Easy,English,Pop,Male,1,2,171,1,29,9
205,2017,1,5,23,Belgium,Blanche,City Lights,English,Pop,Female,1,255,108,40,21,4
208,2017,1,8,12,Azerbaijan,Dihaj,Skeletons,English,Pop,Female,1,42,78,6,14,14
209,2017,1,9,11,Portugal,Salvador Sobral,Amar pelos dois,Portuguese,Ballad,Male,1,376,382,41,39,1
210,2017,1,10,15,Greece,Demy,This Is Love,English,Pop,Female,1,29,48,6,7,19
211,2017,1,11,2,Poland,Kasia Mos,Flashlight,English,Pop,Female,1,41,23,11,7,22
212,2017,1,12,7,Moldova,Sunstroke Project,"Hey, Mamma!",English,Dance,Male,1,264,110,38,19,3
215,2017,1,15,19,Cyprus,Hovig,Gravity,English,Pop,Male,1,32,36,6,7,21
216,2017,1,16,5,Armenia,Artsvik,Fly with Me,English,Pop,Female,1,21,58,5,16,18
220,2017,2,2,4,Austria,Nathan Trent,Running on Air,English,Pop,Male,1,0,93,0,24,16
223,2017,2,5,20,Romania,Ilinca ft. Alex Florea,Yodel It!,English,Pop,Mix,2,224,58,38,11,7
224,2017,2,6,6,Netherlands,O'G3NE,Lights and Shadows,English,Pop,Female,3,15,135,5,25,11
225,2017,2,7,8,Hungary,Joci Papai,Origo,Hungarian,Traditional,Male,1,152,48,33,10,8
226,2017,2,8,10,Denmark,Anja,Where I Am,English,Pop,Female,1,8,69,1,14,20
229,2017,2,11,13,Croatia,Jacques Houdek,My Friend,"English, Italian",Opera,Male,1,103,25,21,6,13
230,2017,2,12,17,Norway,JOWST,Grab the Moment,English,Pop,Male,1,29,129,8,24,10
232,2017,2,14,3,Belarus,Naviband,Story of My Life,Belarusian,Pop,Mix,2,33,50,9,11,17
233,2017,2,15,25,Bulgaria,Kristian Kostov,Beautiful Mess,English,Pop,Male,1,337,278,41,38,2
236,2017,2,18,1,Israel,IMRI,I Feel Alive,English,Pop,Male,1,5,34,3,8,23
237,2017,-,-,9,Italy,Francesco Gabbani,Occidentali's Karma,Italian,Pop,Male,1,208,126,36,20,6
238,2017,-,-,16,Spain,Manel Navarro,Do It for Your Lover,"Spanish, English",Pop,Male,1,5,0,1,0,26
239,2017,-,-,18,United Kingdom,Lucie Jones,Never Give Up on You,English,Ballad,Female,1,12,99,4,21,15
240,2017,-,-,21,Germany,Levina,Perfect Life,English,Pop,Female,1,3,3,1,1,25
241,2017,-,-,22,Ukraine,O.Torvald,Time,English,Rock,Male,1,24,12,6,3,24
242,2017,-,-,26,France,Alma,Requiem,"French, English",Pop,Female,1,90,45,24,12,12
246,2016,1,4,5,Hungary,Freddie,Pioneer,English,Pop,Male,1,56,52,16,12,19
247,2016,1,5,17,Croatia,Nina Kraljic,Lighthouse,English,Pop,Female,1,33,40,5,11,23
248,2016,1,6,3,Netherlands,Douwe Bob,Slow Down,English,Pop,Male,1,39,114,8,22,11
249,2016,1,7,26,Armenia,Iveta Mukuchyan,LoveWave,English,Pop,Female,1,134,115,21,21,7
251,2016,1,9,18,Russia,Sergey Lazarev,You Are the Only One,English,Pop,Male,1,361,130,41,20,3
252,2016,1,10,2,Czech Republic,Gabriela Guncikova,I Stand,English,Pop,Female,1,0,41,0,11,25
253,2016,1,11,14,Cyprus,Minus One,Alter Ego,English,Rock,Male,1,53,43,11,10,21
254,2016,1,12,24,Austria,Zoe,Loin d'ici,French,Pop,Female,1,120,31,27,7,13
256,2016,1,14,4,Azerbaijan,Samra,Miracle,English,Pop,Female,1,73,44,13,11,17
260,2016,1,18,22,Malta,Ira Losco,Walk on Water,English,Pop,Female,1,16,137,3,23,12
261,2016,2,1,20,Latvia,Justs,Heartbeat,English,Pop,Male,1,63,69,13,14,15
262,2016,2,2,12,Poland,Michal Szpak,Color of Your Life,English,Pop,Male,1,222,7,35,4,8
264,2016,2,4,7,Israel,Hovi Star,Made of Stars,English,Ballad,Male,1,11,124,3,25,14
266,2016,2,6,15,Serbia,Sanja Vucic ZAA,Goodbye (Shelter),English,Pop,Female,1,80,35,8,7,18
269,2016,2,9,16,Lithuania,Donny Montell,I've Been Waiting for This Night,English,Ballad,Male,1,96,104,17,22,9
270,2016,2,10,13,Australia,Dami Im,Sound of Silence,English,Pop,Female,1,191,320,37,38,2
272,2016,2,12,8,Bulgaria,Poli Genova,If Love Was a Crime,"English, Bulgarian",Dance,Female,1,180,127,34,23,4
274,2016,2,14,21,Ukraine,Jamala,1944,"English, Crimean Tatar",Pop,Female,1,323,211,40,24,1
276,2016,2,16,23,Georgia,Nika Kocharov & Young Georgian Lolitaz,Midnight Gold,English,Rock,Male,1,24,80,6,12,20
278,2016,2,18,1,Belgium,Laura Tesoro,What's the Pressure,English,Pop,Female,1,51,130,9,20,10
279,2016,-,-,6,Italy,Francesca Michielin,No Degree of Separation,"Italian, English",Pop,Female,1,34,90,8,14,16
280,2016,-,-,9,Sweden,Frans,If I Were Sorry,English,Pop,Male,1,139,122,29,17,5
281,2016,-,-,10,Germany,Jamie-Lee,Ghost,English,Pop,Female,1,10,1,2,1,26
282,2016,-,-,11,France,Amir,J'ai cherche,"French, English",Pop,Male,1,109,148,26,26,6
283,2016,-,-,19,Spain,Barei,Say Yay!,English,Pop,Female,1,10,67,5,15,22
284,2016,-,-,25,United Kingdom,Joe and Jake,You're Not Alone,English,Pop,Male,2,8,54,3,10,24
286,2015,1,2,6,Armenia,Genealogy,Face the Shadow,English,Pop,Mix,6,15,77,11,4,16
287,2015,1,3,13,Belgium,Loic Nottet,Rhythm Inside,English,Pop,Male,1,186,190,37,31,4
290,2015,1,6,15,Greece,Maria Elena Kyriakou,One Last Breath,English,Ballad,Female,1,29,24,4,5,19
291,2015,1,7,4,Estonia,Elina Born & Stig Rasta,Goodbye to Yesterday,English,Pop,Mix,2,53,144,32,16,7
293,2015,1,9,8,Serbia,Bojana Stamenov,Beauty Never Lies,English,Pop,Female,1,12,86,16,4,10
294,2015,1,10,22,Hungary,Boggie,Wars for Nothing,English,Pop,Female,1,29,17,4,8,20
296,2015,1,12,25,Russia,Polina Gagarina,A Million Voices,English,Pop,Female,1,234,286,38,32,2
298,2015,1,14,26,Albania,Elhaida Dani,I'm Alive,English,Pop,Female,1,4,93,12,2,17
299,2015,1,15,20,Romania,Voltaj,De la capat,"Romanian, English",Pop,Male,1,21,69,12,4,15
300,2015,1,16,23,Georgia,Nina Sublatti,Warrior,English,Pop,Female,1,62,51,12,13,11
301,2015,2,1,7,Lithuania,Monika Linkyte & Vaidas Baumila,This Time,English,Pop,Mix,2,31,44,6,9,18
304,2015,2,4,16,Montenegro,Knez,Adio,Montenegrin,Traditional,Male,1,44,34,5,9,13
306,2015,2,6,9,Norway,Morland & Debrah Scarlett,A Monster Like Me,English,Ballad,Mix,2,163,37,10,24,8
309,2015,2,9,3,Israel,Nadav Guedj,Golden Boy,English,Pop,Male,1,77,102,31,17,9
310,2015,2,10,19,Latvia,Aminata,Love Injected,English,Pop,Female,1,249,88,22,35,6
311,2015,2,11,24,Azerbaijan,Elnur Huseynov,Hour of the Wolf,English,Ballad,Male,1,40,48,8,8,12
313,2015,2,13,10,Sweden,Mans Zelmerlow,Heroes,English,Pop,Male,1,353,272,38,37,1
315,2015,2,15,11,Cyprus,John Karayiannis,One Thing I Should Have Done,English,Ballad,Male,1,63,8,1,15,22
316,2015,2,16,1,Slovenia,Maraaya,Here for You,English,Pop,Female,1,36,27,6,10,14
317,2015,2,17,18,Poland,Monika Kuszynska,In the Name of Love,English,Ballad,Female,1,2,47,10,1,23
318,2015,-,-,2,France,Lisa Angell,N'oubliez pas,French,Ballad,Female,1,24,3,1,8,25
319,2015,-,-,5,United Kingdom,Electro Velvet,Still in Love with You,English,Pop,Mix,2,12,4,2,6,24
320,2015,-,-,14,Austria,The Makemakes,I Am Yours,English,Ballad,Male,1,40,0,0,12,26
321,2015,-,-,17,Germany,Ann Sophie,Black Smoke,English,Pop,Female,1,24,5,2,7,27
322,2015,-,-,21,Spain,Edurne,Amanecer,Spanish,Ballad,Female,1,6,26,8,3,21
323,2015,-,-,27,Italy,Il Volo,Grande amore,Italian,Ballad,Male,3,171,356,38,27,3
324,2014,1,1,7,Armenia,Aram MP3,Not Alone,English,Ballad,Male,1,113,187,26,19,4
327,2014,1,4,13,Sweden,Sanna Nielsen,Undo,English,Ballad,Female,1,199,173,32,25,3
328,2014,1,5,4,Iceland,Pollaponk,No Prejudice,English,Rock,Male,3,59,38,9,9,15
330,2014,1,7,15,Russia,Tolmachevy Sisters,Shine,English,Pop,Female,2,62,132,18,11,7
331,2014,1,8,3,Azerbaijan,Dilara Kazimova,Start a Fire,English,Ballad,Female,1,101,14,3,22,22
332,2014,1,9,1,Ukraine,Mariya Yaremchuk,Tick-Tock,English,Pop,Female,1,72,112,19,14,6
335,2014,1,12,25,San Marino,Valentina Monetta,Maybe,English,Ballad,Female,2,16,15,7,3,24
337,2014,1,14,24,Netherlands,The Common Linnets,Calm After the Storm,English,Traditional,Mix,2,NA,NA,NA,NA,2
338,2014,1,15,8,Montenegro,Sergej cetkovic,Moj svijet,Montenegrin,Ballad,Male,1,48,27,3,9,19
339,2014,1,16,21,Hungary,Andras Kallay-Saunders,Running,English,Pop,Male,1,138,83,21,21,5
340,2014,2,1,22,Malta,Firelight,Coming Home,English,Traditional,Mix,2,119,12,4,22,23
342,2014,2,3,5,Norway,Carl Espen,Silent Storm,English,Ballad,Male,1,102,39,13,18,8
344,2014,2,5,9,Poland,Donatan & Cleo,My Slowianie – We Are Slavic,"Polish, English",Traditional,Female,1,23,162,23,6,14
345,2014,2,6,11,Austria,Conchita Wurst,Rise Like a Phoenix,English,Ballad,Male,1,214,306,34,26,1
347,2014,2,8,18,Finland,Softengine,Something Better,English,Rock,Male,1,114,36,7,19,11
349,2014,2,10,2,Belarus,Teo,Cheesecake,English,Pop,Male,1,50,56,10,9,16
351,2014,2,12,20,Switzerland,Sebalter,Hunter of Stars,English,Pop,Male,1,26,114,29,5,13
352,2014,2,13,10,Greece,Freaky Fortune feat. RiskyKidd,Rise Up,English,Dance,Male,2,45,41,11,11,20
353,2014,2,14,17,Slovenia,Tinkara Kovac,Round and Round,"English, Slovene",Pop,Female,1,21,15,2,7,25
354,2014,2,15,6,Romania,Paula Seling & Ovi,Miracle,English,Dance,Mix,2,51,103,16,9,12
355,2014,-,-,12,Germany,Elaiza,Is It Right,English,Traditional,Female,1,56,27,6,12,18
356,2014,-,-,14,France,TWIN TWIN,Moustache,French,Dance,Male,1,5,1,1,2,26
357,2014,-,-,16,Italy,Emma,La mia citta,Italian,Rock,Female,1,37,22,4,5,21
358,2014,-,-,19,Spain,Ruth Lorenzo,Dancing in the Rain,"English, Spanish",Ballad,Female,1,83,29,7,21,10
359,2014,-,-,23,Denmark,Basim,Cliche Love Song,English,Pop,Male,1,85,42,12,16,9
360,2014,-,-,26,United Kingdom,Molly,Children of the Universe,English,Pop,Female,1,49,24,5,12,17
362,2013,1,2,7,Estonia,Birgit,Et uus saaks alguse,Estonian,Ballad,Female,1,NA,NA,NA,NA,20
365,2013,1,5,18,Denmark,Emmelie de Forest,Only Teardrops,English,Pop,Female,1,NA,NA,NA,NA,1
366,2013,1,6,10,Russia,Dina Garipova,What If,English,Ballad,Female,1,NA,NA,NA,NA,5
367,2013,1,7,22,Ukraine,Zlata Ognevich,Gravity,English,Pop,Female,1,NA,NA,NA,NA,3
368,2013,1,8,13,Netherlands,Anouk,Birds,English,Ballad,Female,1,NA,NA,NA,NA,9
370,2013,1,10,2,Lithuania,Andrius Pojavis,Something,English,Dance,Male,1,NA,NA,NA,NA,22
371,2013,1,11,8,Belarus,Alyona Lanskaya,Solayoh,English,Dance,Female,1,NA,NA,NA,NA,16
372,2013,1,12,3,Moldova,Aliona Moon,O mie,Romanian,Ballad,Female,1,NA,NA,NA,NA,11
373,2013,1,13,26,Ireland,Ryan Dolan,Only Love Survives,English,Pop,Male,1,NA,NA,NA,NA,26
375,2013,1,15,6,Belgium,Roberto Bellarosa,Love Kills,English,Pop,Male,1,NA,NA,NA,NA,12
380,2013,2,4,20,Azerbaijan,Farid Mammadov,Hold Me,English,Ballad,Male,1,NA,NA,NA,NA,2
381,2013,2,5,4,Finland,Krista Siegfrids,Marry Me,English,Pop,Female,1,NA,NA,NA,NA,24
382,2013,2,6,9,Malta,Gianluca,Tomorrow,English,Pop,Male,1,NA,NA,NA,NA,8
384,2013,2,8,19,Iceland,Eythor Ingi,Eg a lif,Icelandic,Traditional,Male,1,NA,NA,NA,NA,17
385,2013,2,9,21,Greece,Koza Mostra feat. Agathon Iakovidis,Alcohol Is Free,Greek1,Traditional,Male,4,NA,NA,NA,NA,6
387,2013,2,11,12,Armenia,Dorians,Lonely Planet,English,Rock,Male,1,NA,NA,NA,NA,18
388,2013,2,12,17,Hungary,ByeAlex,Kedvesem (Zoohacker Remix),Hungarian,Pop,Male,1,NA,NA,NA,NA,10
389,2013,2,13,24,Norway,Margaret Berger,I Feed You My Love,English,Dance,Female,1,NA,NA,NA,NA,4
391,2013,2,15,25,Georgia,Nodi Tatishvili & Sophie Gelovani,Waterfall,English,Ballad,Mix,2,NA,NA,NA,NA,15
393,2013,2,17,14,Romania,Cezar,It's My Life,English,Dance,Male,1,NA,NA,NA,NA,13
394,2013,-,-,1,France,Amandine Bourgeois,L'enfer et moi,French,Rock,Female,1,NA,NA,NA,NA,23
395,2013,-,-,5,Spain,ESDM,Contigo hasta el final,Spanish,Rock,Female,1,NA,NA,NA,NA,25
396,2013,-,-,11,Germany,Cascada,Glorious,English,Dance,Female,1,NA,NA,NA,NA,21
397,2013,-,-,15,United Kingdom,Bonnie Tyler,Believe in Me,English,Rock,Female,1,NA,NA,NA,NA,19
398,2013,-,-,16,Sweden,Robin Stjernberg,You,English,Dance,Male,1,NA,NA,NA,NA,14
